county,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Mifflin,36,31,48,51,47,47,34,43,31,32,34,46,34,20,30,28,31,27,33,26,33,24,25
Monroe,331,340,312,299,295,356,366,370,410,384,422,459,385,384,347,360,280,333,359,400,394,302,300
Montgomery,"1,975","1,780","1,723","1,668","1,618","1,796","1,773","1,723","1,820","1,631","1,766","1,714","1,828","1,705","1,706","1,757","1,642","1,725","1,689","1,585","1,649","1,565","1,670"
Montour,24,20,17,20,15,21,14,23,21,23,33,25,22,23,17,14,14,16,13,16,10,15,17
Northampton,639,606,576,487,510,556,527,569,620,618,675,728,709,698,699,753,602,608,591,604,591,534,552
Northumberland,128,89,108,100,110,93,92,101,103,93,92,103,83,81,77,79,90,76,75,78,74,69,77
Perry,57,65,57,56,56,59,56,56,59,55,60,53,49,58,42,46,41,61,42,36,40,79,34
Philadelphia,"14,593","14,510","14,236","14,153","14,767","14,389","12,758","13,512","12,828","12,662","13,078","13,830","15,377","14,462","14,731","14,046","13,659","12,559","12,701","12,032","11,361","11,140","11,494"
Pike,22,15,23,10,23,25,29,27,28,52,41,61,45,54,58,48,47,43,34,41,40,46,42
Potter,2,1,3,4,5,11,6,8,11,7,5,5,5,6,3,5,2,3,1,6,10,23,8
Schuylkill,251,222,212,218,187,216,215,269,223,230,226,227,225,196,190,183,171,183,178,154,161,177,133
Snyder,24,40,18,31,15,22,27,32,29,27,35,30,15,22,25,22,15,27,17,18,14,19,13
Somerset,90,95,69,69,60,72,60,58,64,63,63,55,57,66,57,66,53,38,39,48,41,54,68
Sullivan,3,2,2,2,0,3,0,4,4,3,3,0,7,6,5,4,3,1,4,1,6,2,2
Susquehanna,4,1,4,9,4,8,11,11,18,6,20,19,11,16,6,13,9,9,7,10,17,5,7
Tioga,4,2,7,7,12,16,9,12,13,16,7,2,7,9,1,13,3,4,2,4,2,5,14
Union,33,34,29,27,21,29,23,30,26,39,31,27,22,21,29,29,29,26,34,21,27,23,23
Venango,56,59,62,64,54,53,58,54,51,51,45,53,55,58,43,42,41,41,37,30,31,41,31
Warren,18,12,28,20,31,20,20,39,22,19,15,31,17,33,12,19,15,6,6,9,14,11,13
Washington,405,427,382,380,328,319,374,353,365,365,384,357,342,348,295,301,301,277,283,259,248,255,262
Wayne,15,23,17,14,24,26,42,45,37,43,42,50,41,51,38,40,33,36,39,30,41,32,45
Westmoreland,723,712,667,570,551,546,590,620,585,555,609,605,560,539,559,556,485,433,435,432,396,404,392
Wyoming,9,10,6,8,6,13,11,21,29,20,35,28,22,26,19,16,18,19,14,26,17,18,19
York,610,608,644,646,626,542,564,602,605,661,642,623,603,581,579,606,629,580,651,585,533,528,496
PENNSYLVANIA UNKNOWN,2,2,0,1,2,5,0,0,0,0,4,9,33,38,0,11,2,1,0,0,0,0,0
PENNSYLVANIA TOTAL,"36,158","35,478","33,954","32,863","33,901","35,025","33,503","35,215","34,517","33,468","35,192","35,217","37,222","35,684","35,227","34,459","33,166","30,749","30,764","30,232","29,214","28,234","28,240"
NONRESIDENTS,"1,846","1,657","1,663","1,631","1,729","1,795","1,664","1,693","1,513","1,441","1,539","1,446","1,585","1,600","1,551","1,821","1,370","1,359","1,362","1,586","1,667","1,777","2,124"
TOTAL,"38,004","37,135","35,617","34,494","35,630","36,820","35,167","36,908","36,030","34,909","36,731","36,663","38,807","37,284","36,778","36,280","34,536","32,108","32,126","31,818","30,881","30,011","30,364"
