county,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Marion,850,828,914,829,866,923,984,927,"1,013",956,905,854,906,862,829,847,913,890,905,852,807,676,682,605,529,545,593,605,616,670,620
Morrow,9,10,9,9,6,6,12,12,6,10,6,7,15,5,2,5,6,6,5,4,1,7,4,4,2,3,1,5,1,1,2
Multnomah,"4,322","4,311","4,541","4,053","4,007","4,249","4,384","4,208","4,383","4,295","4,242","4,589","4,458","4,164","3,865","3,483","3,790","3,864","3,724","3,599","3,212","2,905","2,873","2,774","2,556","2,478","2,703","2,729","2,629","2,578","2,541"
Polk,81,98,98,95,92,117,111,167,133,116,107,86,104,119,100,109,87,110,127,91,113,112,82,108,81,78,91,100,106,94,97
Sherman,1,0,5,3,1,5,3,5,2,3,3,3,1,1,4,1,2,2,3,1,1,2,4,1,0,0,1,1,0,1,1
Tillamook,82,79,66,70,77,58,75,61,46,62,59,41,43,49,54,47,39,30,43,37,42,39,38,39,27,47,31,36,34,30,28
Umatilla,150,127,126,98,58,61,83,73,55,78,67,56,51,56,31,42,35,25,23,19,37,24,26,23,18,16,16,16,10,13,15
Union,86,97,95,68,52,32,53,33,30,37,25,24,21,30,18,18,25,28,19,13,12,9,15,8,4,6,13,4,8,7,7
Wallowa,19,15,16,12,7,6,10,1,8,8,6,5,5,4,7,0,7,5,5,0,2,0,2,2,2,2,1,1,1,2,2
Wasco,83,63,63,71,62,53,71,60,52,56,49,41,52,46,45,41,43,41,45,39,44,33,36,33,38,39,33,49,37,42,28
Washington,"1,359","1,447","1,510","1,397","1,529","1,456","1,663","1,629","1,752","1,870","1,896","1,801","1,881","1,733","1,662","1,552","1,462","1,549","1,430","1,358","1,355","1,202","1,107","1,085","1,024","1,120","1,048","1,107","1,093","1,017",865
Wheeler,0,4,2,2,1,0,2,1,1,3,0,2,0,1,0,0,2,1,2,2,0,1,0,2,0,1,2,1,2,1,1
Yamhill,223,216,199,161,167,156,201,202,240,234,237,233,217,208,234,181,164,229,178,180,188,149,164,150,137,117,144,166,145,149,117
OREGON UNKNOWN,0,0,0,0,0,0,0,0,0,1,0,2,0,1,4,1,55,15,17,16,84,19,31,23,2,126,2,3,1,1,0
OREGON TOTAL,"12,535","12,330","12,873","11,255","11,500","11,840","12,471","12,083","12,824","12,553","12,357","12,443","12,469","11,536","11,148","10,185","10,216","10,874","10,499","9,366","9,584","8,940","8,632","8,136","7,508","7,450","7,646","7,995","7,662","7,907","7,574"
OTHER,"1,393","1,328","1,441","1,430","1,461","1,552","1,608","1,684","1,788","1,791","1,788","1,750","1,803","1,636","1,474","1,258","1,386","1,372","1,384","1,244","1,217","1,050",935,880,775,781,964,947,844,828,767
TOTAL,"13,928","13,658","14,314","12,685","12,961","13,392","14,079","13,767","14,612","14,344","14,145","14,193","14,272","13,172","12,622","11,443","11,602","12,246","11,883","10,610","10,801","9,990","9,567","9,016","8,283","8,231","8,610","8,942","8,506","8,735","8,341"
